"state","year","shootings_total","shootings_black","shootings_white","shootings_other","pop_total","pop_black","pop_white","pop_other","rate_total","rate_black","rate_white","rate_other","control_totpop","control_blackshare","yr_2015","yr_2016","yr_2017","yr_2018","yr_2019","yr_2020","region"
"LA",2016,19,11,7,1,4659978,1557173,2968719,134086,4.07727246780993e-06,2.36052616557417e-06,1.50215301445629e-06,2.1459328777947e-07,4659978,0.334158873711421,0,1,0,0,0,0,"south"
"LA",2017,19,11,6,2,4659978,1557173,2968719,134086,4.07727246780993e-06,2.36052616557417e-06,1.28755972667682e-06,4.2918657555894e-07,4659978,0.334158873711421,0,0,1,0,0,0,"south"
"LA",2018,15,4,10,1,4659978,1557173,2968719,134086,3.21889931669205e-06,8.58373151117881e-07,2.1459328777947e-06,2.1459328777947e-07,4659978,0.334158873711421,0,0,0,1,0,0,"south"
"LA",2019,20,17,2,1,4659978,1557173,2968719,134086,4.2918657555894e-06,3.64808589225099e-06,4.2918657555894e-07,2.1459328777947e-07,4659978,0.334158873711421,0,0,0,0,1,0,"south"
"LA",2020,16,8,5,3,4659978,1557173,2968719,134086,3.43349260447152e-06,1.71674630223576e-06,1.07296643889735e-06,6.43779863338411e-07,4659978,0.334158873711421,0,0,0,0,0,1,"south"
"MA",2015,9,2,5,2,6902149,669506,5670599,562044,1.3039417143849e-06,2.89764825418866e-07,7.24412063547165e-07,2.89764825418866e-07,6902149,0.0969996446034416,1,0,0,0,0,0,"northeast"
"MA",2016,12,5,4,3,6902149,669506,5670599,562044,1.7385889525132e-06,7.24412063547165e-07,5.79529650837732e-07,4.34647238128299e-07,6902149,0.0969996446034416,0,1,0,0,0,0,"northeast"
"MA",2017,3,NA,2,1,6902149,669506,5670599,562044,4.34647238128299e-07,NA,2.89764825418866e-07,1.44882412709433e-07,6902149,0.0969996446034416,0,0,1,0,0,0,"northeast"
"MA",2018,3,NA,3,NA,6902149,669506,5670599,562044,4.34647238128299e-07,NA,4.34647238128299e-07,NA,6902149,0.0969996446034416,0,0,0,1,0,0,"northeast"
"MA",2019,5,1,NA,4,6902149,669506,5670599,562044,7.24412063547165e-07,1.44882412709433e-07,NA,5.79529650837732e-07,6902149,0.0969996446034416,0,0,0,0,1,0,"northeast"
"MA",2020,3,NA,3,NA,6902149,669506,5670599,562044,4.34647238128299e-07,NA,4.34647238128299e-07,NA,6902149,0.0969996446034416,0,0,0,0,0,1,"northeast"
"MD",2015,15,12,3,NA,6042718,1932392,3628187,482139,2.48232666161155e-06,1.98586132928924e-06,4.96465332322309e-07,NA,6042718,0.319788545485657,1,0,0,0,0,0,"south"
"MD",2016,15,9,5,1,6042718,1932392,3628187,482139,2.48232666161155e-06,1.48939599696693e-06,8.27442220537182e-07,1.65488444107436e-07,6042718,0.319788545485657,0,1,0,0,0,0,"south"
"MD",2017,9,4,5,NA,6042718,1932392,3628187,482139,1.48939599696693e-06,6.61953776429746e-07,8.27442220537182e-07,NA,6042718,0.319788545485657,0,0,1,0,0,0,"south"
"MD",2018,12,8,2,2,6042718,1932392,3628187,482139,1.98586132928924e-06,1.32390755285949e-06,3.30976888214873e-07,3.30976888214873e-07,6042718,0.319788545485657,0,0,0,1,0,0,"south"
"MD",2019,19,10,7,2,6042718,1932392,3628187,482139,3.14428043804129e-06,1.65488444107436e-06,1.15841910875205e-06,3.30976888214873e-07,6042718,0.319788545485657,0,0,0,0,1,0,"south"
"MD",2020,11,4,4,3,6042718,1932392,3628187,482139,1.8203728851818e-06,6.61953776429746e-07,6.61953776429746e-07,4.96465332322309e-07,6042718,0.319788545485657,0,0,0,0,0,1,"south"
"ME",2015,2,NA,2,NA,1338404,26619,1281687,30098,1.49431711202298e-06,NA,1.49431711202298e-06,NA,1338404,0.0198886136024698,1,0,0,0,0,0,"northeast"
"ME",2016,2,NA,1,1,1338404,26619,1281687,30098,1.49431711202298e-06,NA,7.47158556011488e-07,7.47158556011488e-07,1338404,0.0198886136024698,0,1,0,0,0,0,"northeast"
"ME",2017,9,1,8,NA,1338404,26619,1281687,30098,6.72442700410339e-06,7.47158556011488e-07,5.97726844809191e-06,NA,1338404,0.0198886136024698,0,0,1,0,0,0,"northeast"
"ME",2018,3,NA,2,1,1338404,26619,1281687,30098,2.24147566803446e-06,NA,1.49431711202298e-06,7.47158556011488e-07,1338404,0.0198886136024698,0,0,0,1,0,0,"northeast"
"ME",2019,3,NA,2,1,1338404,26619,1281687,30098,2.24147566803446e-06,NA,1.49431711202298e-06,7.47158556011488e-07,1338404,0.0198886136024698,0,0,0,0,1,0,"northeast"
"ME",2020,3,NA,3,NA,1338404,26619,1281687,30098,2.24147566803446e-06,NA,2.24147566803446e-06,NA,1338404,0.0198886136024698,0,0,0,0,0,1,"northeast"
"MI",2015,16,6,10,NA,9995915,1496029,8041198,458688,1.60065386710471e-06,6.00245200164267e-07,1.00040866694045e-06,NA,9995915,0.149664037759425,1,0,0,0,0,0,"midwest"
"MI",2016,12,5,6,1,9995915,1496029,8041198,458688,1.20049040032853e-06,5.00204333470223e-07,6.00245200164267e-07,1.00040866694045e-07,9995915,0.149664037759425,0,1,0,0,0,0,"midwest"
