city,state,pop_est_2019,pop_est_2010,pop_dens_2016_mi,pop_dens_2016_km
Sandy Springs,Georgia,"109,452","93,853",2804,1083
Gresham,Oregon,"109,381","105,594",4786,1848
Lewisville,Texas,"109,212","95,290",2852,1101
Hillsboro,Oregon,"109,128","91,611",4207,1624
Ventura[,California,"109,106","106,433",5027,1941
Greeley,Colorado,"108,649","92,889",2176,840
Inglewood,California,"108,151","109,673",12160,4700
Waterbury,Connecticut,"107,568","110,366",3799,1467
League City,Texas,"107,536","83,560",1992,769
Santa Maria,California,"107,263","99,553",4662,1800
Tyler,Texas,"106,985","96,900",1852,715
Davie[,Florida,"106,306","91,992",2919,1127
Lakewood[,New Jersey,"106,300","92,843",4079,1575
Daly City,California,"106,280","101,123",14009,5409
Boulder,Colorado,"105,673","97,385",4358,1683
Allen,Texas,"105,623","84,246",3715,1434
West Covina,California,"105,101","106,098",6740,2600
Sparks,Nevada,"105,006","90,264",2810,1080
Wichita Falls,Texas,"104,683","104,553",1450,560
Green Bay,Wisconsin,"104,578","104,057",2316,894
San Mateo,California,"104,430","97,207",8592,3317
Norwalk,California,"103,949","105,549",10946,4226
Rialto,California,"103,526","99,171",4633,1789
Las Cruces,New Mexico,"103,432","97,618",1323,511
Chico,California,"103,301","86,187",3102,1198
El Cajon,California,"102,708","99,478",7156,2763
Burbank,California,"102,511","103,340",6003,2318
South Bend,Indiana,"102,026","101,168",2457,949
Renton,Washington,"101,751","90,927",4314,1666
Vista,California,"101,638","93,834",5436,2099
Davenport,Iowa,"101,590","99,685",1631,630
Edinburg,Texas,"101,170","77,100",2691,1039
Tuscaloosa,Alabama,"101,129","90,468",1399,540
Carmel,Indiana,"101,068","79,191",2128,822
Spokane Valley,Washington,"101,060","89,755",2681,1035
San Angelo,Texas,"101,004","93,200",1681,649
Vacaville,California,"100,670","92,428",3449,1332
Clinton[,Michigan,"100,471","96,796",3573,1380
Bend,Oregon,"100,421","76,639",3034,1171
Woodbridge[,New Jersey,"100,145","99,585",4351,1680
